Ticker,predictedPrice,mvPrice,Difference,ESG
INTC,27.483608865936027,47.08,19.59639113406397,16.9
NVDA,3.1268256874695473,231.24,228.11317431253048,13.3
AMAT,14.486175700534517,119.9595,105.47332429946549,16.3
QCOM,15.713788744376219,137.08,121.3662112556238,12.8
MSFT,6.270654611200457,297.44,291.1693453887995,16.7
MA,4.110404298694392,353.59,349.4795957013056,11.8
ACN,18.9227583648713,339.52,320.5972416351287,24.4
IBM,49.11832442515074,127.9,78.78167557484926,16.0
INTU,5.716260933585771,482.0,476.2837390664142,17.2
EBAY,25.600281141841027,55.03,29.429718858158974,11.6
AAPL,4.6742606756155185,169.85,165.17573932438447,9.4
CSCO,7.823410912995526,54.32,46.49658908700447,22.2
VZ,1.0615642268265868,53.405,52.34343577317341,14.8
T,1.7979806247193841,24.095,22.297019375280616,29.6
EXC,3.511280575308309,50.15,46.638719424691686,15.2
AEP,1.5790413258635567,103.12,101.54095867413645,16.5
EIX,2.680149305010662,71.56,68.87985069498934,21.9
ETR,2.3343990134109855,123.8,121.46560098658901,30.5
AES,3.2464104902625146,24.98,21.733589509737484,17.4
ES,1.4920709908344054,92.71,91.21792900916559,11.6
PEP,2.511115117823052,173.145,170.63388488217697,11.6
ADM,11.74948267870604,95.5787,83.82921732129395,22.1
GIS,3.4474268060897946,70.15,66.70257319391021,14.7
HSY,1.5262863162976752,223.69,222.16371368370233,20.2
ANTM,6.468311013953548,520.41,513.9416889860464,23.2
UNH,3.29742869696623,548.85,545.5525713030338,28.8
CI,12.146402814057488,258.305,246.1585971859425,20.7
ABT,1.1826342412503215,123.46,122.27736575874967,27.4
BDX,1.566757138673881,276.68,275.1132428613261,27.3
F,0.4433232,15.125,14.6816768,25.0
OC,1.0157768,83.82,82.8042232,28.5
MRK,5.822408061621033,87.5981,81.77569193837897,27.0
JNJ,4.788397889011301,182.175,177.38660211098872,36.4
AMGN,4.431931575815174,252.775,248.34306842418482,30.3
CL,2.963762260140819,80.28,77.31623773985918,18.0
PG,2.3278772612311216,160.095,157.76712273876888,21.7
CLX,4.511324245364406,147.04,142.52867575463557,16.9
KMB,5.254773252295117,126.475,121.22022674770487,11.7
EQIX,9.617538843520547,765.175,755.5574611564795,19.0
DLR,10.553098525925877,149.68,139.12690147407412,26.0
UPS,1.7566129,190.815,189.0583871,28.3
NEM,5.3880563,82.52,77.1319437,21.9
LMT,2.041976529011383,460.28,458.2380234709886,35.0
NOC,1.8959714212326586,462.26,460.3640285787673,12.7
BLK,5.439174767608549,735.985,730.5458252323915,19.0
GS,17.853551643777305,321.29,303.43644835622274,25.0
SPGI,2.699260246509136,413.77,411.07073975349084,20.3
AXP,9.375110497809759,183.925,174.54988950219024,23.0
NDAQ,6.216984399688975,183.58,177.36301560031103,16.7
DE,2.9145305,416.7475,413.8329695,24.1
LOW,0.6119266296838192,206.5,205.8880733703162,11.9
BBY,2.0791576194396386,93.5496,91.47044238056036,13.0
NLSN,1.5459014,27.595,26.0490986,14.3
ECL,1.9142959052459634,183.25,181.33570409475405,22.2
EMN,5.524909493196868,108.5,102.97509050680313,24.8
