TICKER,Knowledge_N,Knowledge_P,Knowledge_Infrastructure_N,Knowledge_Infrastructure_P,Creating_Knowledge_N,Creating_Knowledge_P,Distributing_Knowledge_N,Distributing_Knowledge_P,Scarce_Human_Capital_N,Scarce_Human_Capital_P
WDAY,-2.65,1.37,0.0,0.11,0.0,0.07,-0.0,1.19,-2.65,0.0
PANW,-3.89,3.16,0.0,2.49,0.0,0.56,-0.0,0.12,-3.89,0.0
ABMD,-1.19,0.03,0.0,0.0,0.0,0.02,-0.0,0.0,-1.19,0.0
ADBE,-3.69,1.83,0.0,1.3,0.0,0.23,-0.02,0.29,-3.67,0.0
AMD,-1.16,1.05,0.0,0.64,0.0,0.21,-0.0,0.2,-1.16,0.0
AKAM,-3.57,2.06,0.0,1.32,0.0,0.32,-0.0,0.42,-3.57,0.0
ALGN,-1.25,0.03,0.0,0.0,0.0,0.03,-0.0,0.0,-1.25,0.0
LNT,-1.04,0.11,0.0,0.05,0.0,0.04,-0.0,0.02,-1.04,0.0
GOOG,-2.27,2.83,0.0,0.38,0.0,1.33,-0.1,1.11,-2.17,0.0
AMZN,-1.87,0.97,0.0,0.32,0.0,0.34,-0.0,0.31,-1.87,0.0
AMGN,-1.65,0.3,0.0,0.0,0.0,0.3,-0.0,0.0,-1.65,0.0
ADI,-1.28,1.6,0.0,1.1,0.0,0.21,-0.0,0.28,-1.28,0.0
ANSS,-3.39,4.68,0.0,1.42,0.0,2.68,-0.0,0.57,-3.39,0.0
AAPL,-1.65,2.57,0.0,1.39,0.0,0.07,-0.03,1.11,-1.62,0.0
AMAT,-1.55,0.81,0.0,0.68,0.0,0.09,-0.0,0.04,-1.55,0.0
ADSK,-2.96,1.63,0.0,0.33,0.0,1.26,-0.0,0.04,-2.96,0.0
ADP,-2.12,0.41,0.0,0.03,0.0,0.01,-0.0,0.37,-2.12,0.0
BIIB,-1.58,0.27,0.0,0.0,0.0,0.26,-0.0,0.0,-1.58,0.0
AVGO,-2.42,2.49,0.0,1.38,0.0,0.82,-0.0,0.29,-2.41,0.0
CDNS,-2.87,1.89,0.0,0.93,0.0,0.84,-0.0,0.12,-2.87,0.0
CBOE,-2.01,1.55,0.0,0.13,0.0,0.01,-0.0,1.41,-2.01,0.0
CDW,-2.47,1.78,0.0,1.38,0.0,0.14,-0.0,0.26,-2.47,0.0
CERN,-3.87,0.52,0.0,0.23,0.0,0.28,-0.0,0.0,-3.87,0.0
CHTR,-1.47,2.1,0.0,1.19,0.0,0.23,-0.01,0.67,-1.46,0.0
CINF,-1.41,0.05,0.0,0.0,0.0,0.03,-0.0,0.02,-1.41,0.0
CTAS,-0.76,0.64,0.0,0.02,0.0,0.11,-0.0,0.51,-0.76,0.0
CSCO,-2.57,2.69,0.0,1.87,0.0,0.57,-0.0,0.26,-2.57,0.0
CTXS,-3.77,2.6,0.0,2.42,0.0,0.14,-0.0,0.05,-3.77,0.0
CME,-1.61,1.24,0.0,0.05,0.0,0.01,-0.0,1.18,-1.61,0.0
CTSH,-3.26,2.55,0.0,0.29,0.0,0.67,-0.0,1.58,-3.26,0.0
CMCSA,-1.7,1.52,0.0,0.71,0.0,0.32,-0.0,0.49,-1.7,0.0
CPRT,-1.21,0.37,0.0,0.03,0.0,0.04,-0.0,0.3,-1.21,0.0
XRAY,-1.31,0.13,0.0,0.0,0.0,0.13,-0.0,0.0,-1.31,0.0
DXCM,-1.06,0.13,0.0,0.05,0.0,0.08,-0.0,0.0,-1.06,0.0
DISCA,-1.82,1.65,0.0,0.44,0.0,0.54,-0.0,0.67,-1.82,0.0
DISH,-1.51,1.44,0.0,0.5,0.0,0.16,-0.0,0.78,-1.51,0.0
DLTR,-0.74,0.03,0.0,0.0,0.0,0.01,-0.0,0.02,-0.74,0.0
EBAY,-1.29,0.66,0.0,0.02,0.0,0.05,-0.0,0.58,-1.29,0.0
EA,-3.23,1.36,0.0,0.07,0.0,1.28,-0.0,0.01,-3.23,0.0
ENPH,-1.62,1.62,0.0,0.14,0.0,1.1,-0.0,0.37,-1.62,0.0
EQIX,-3.01,2.26,0.0,1.43,0.0,0.34,-0.0,0.5,-3.01,0.0
EXC,-1.17,0.21,0.0,0.04,0.0,0.14,-0.0,0.03,-1.17,0.0
EXPD,-0.93,0.13,0.0,0.0,0.0,0.11,-0.0,0.02,-0.93,0.0
FFIV,-3.96,2.76,0.0,2.54,0.0,0.16,-0.0,0.07,-3.96,0.0
FB,-3.02,3.42,0.0,0.24,0.0,0.03,-0.64,3.15,-2.38,0.0
FAST,-1.11,0.13,0.0,0.11,0.0,0.01,-0.0,0.01,-1.11,0.0
FITB,-1.7,0.44,0.0,0.12,0.0,0.04,-0.0,0.28,-1.7,0.0
FISV,-2.98,0.19,0.0,0.17,0.0,0.0,-0.0,0.01,-2.98,0.0
FTNT,-3.65,2.92,0.0,2.84,0.0,0.02,-0.0,0.06,-3.65,0.0
FOX,-1.92,2.13,0.0,0.3,0.0,0.54,-0.01,1.29,-1.91,0.0
GILD,-1.39,0.54,0.0,0.0,0.0,0.54,-0.0,0.0,-1.39,0.0
HAS,-1.01,0.54,0.0,0.14,0.0,0.16,-0.0,0.24,-1.01,0.0
HSIC,-1.47,0.29,0.0,0.05,0.0,0.05,-0.0,0.2,-1.47,0.0
HOLX,-2.19,0.95,0.0,0.14,0.0,0.81,-0.0,0.0,-2.19,0.0
HST,-1.13,0.74,0.0,0.0,0.0,0.05,-0.0,0.69,-1.13,0.0
HBAN,-1.62,0.18,0.0,0.1,0.0,0.02,-0.0,0.06,-1.62,0.0
IDXX,-1.11,0.45,0.0,0.0,0.0,0.45,-0.0,0.01,-1.11,0.0
ILMN,-1.9,2.07,0.0,0.0,0.0,0.81,-0.0,1.26,-1.9,0.0
INCY,-1.79,2.11,0.0,0.0,0.0,2.11,-0.0,0.0,-1.79,0.0
INTC,-1.28,1.54,0.0,0.75,0.0,0.5,-0.0,0.3,-1.28,0.0
INTU,-2.97,0.97,0.0,0.17,0.0,0.01,-0.0,0.79,-2.97,0.0
ISRG,-1.91,0.35,0.0,0.15,0.0,0.21,-0.0,0.0,-1.91,0.0
IPGP,-1.06,0.25,0.0,0.12,0.0,0.03,-0.0,0.1,-1.06,0.0
JKHY,-3.24,0.18,0.0,0.15,0.0,0.01,-0.0,0.02,-3.24,0.0
KLAC,-1.81,0.91,0.0,0.51,0.0,0.33,-0.0,0.07,-1.81,0.0
LRCX,-1.18,0.25,0.0,0.21,0.0,0.03,-0.0,0.0,-1.18,0.0
LKQ,-1.17,0.46,0.0,0.0,0.0,0.43,-0.0,0.03,-1.17,0.0
MKTX,-2.28,1.83,0.0,0.22,0.0,0.0,-0.01,1.61,-2.27,0.0
MTCH,-2.34,0.19,0.0,0.18,0.0,0.0,-0.0,0.0,-2.34,0.0
MCHP,-1.21,0.82,0.0,0.48,0.0,0.09,-0.0,0.25,-1.21,0.0
MU,-0.95,0.31,0.0,0.18,0.0,0.04,-0.0,0.09,-0.95,0.0
MSFT,-3.12,2.17,0.0,0.97,0.0,0.38,-0.02,0.82,-3.11,0.0
MRNA,-2.28,0.87,0.0,0.0,0.0,0.87,-0.0,0.0,-2.28,0.0
MPWR,-1.2,1.29,0.0,1.08,0.0,0.04,-0.0,0.17,-1.2,0.0
NDAQ,-2.05,1.73,0.0,0.19,0.0,0.01,-0.0,1.53,-2.05,0.0
NTAP,-2.72,1.4,0.0,0.81,0.0,0.26,-0.0,0.33,-2.72,0.0
NFLX,-2.24,1.27,0.0,0.37,0.0,0.4,-0.0,0.5,-2.24,0.0
NWL,-0.87,0.29,0.0,0.05,0.0,0.03,-0.0,0.22,-0.87,0.0
NLOK,-3.77,2.97,0.0,2.53,0.0,0.22,-0.0,0.21,-3.77,0.0
NVDA,-2.11,1.52,0.0,0.62,0.0,0.72,-0.0,0.17,-2.11,0.0
NXPI,-1.21,1.18,0.0,0.63,0.0,0.36,-0.0,0.19,-1.21,0.0
PAYX,-2.0,0.67,0.0,0.01,0.0,0.14,-0.0,0.52,-2.0,0.0
PYPL,-2.17,0.16,0.0,0.13,0.0,0.0,-0.0,0.03,-2.17,0.0
PBCT,-1.66,0.24,0.0,0.11,0.0,0.01,-0.0,0.12,-1.66,0.0
PFG,-1.57,0.66,0.0,0.1,0.0,0.07,-0.0,0.49,-1.57,0.0
PTC,-3.23,2.17,0.0,0.93,0.0,1.02,-0.0,0.22,-3.23,0.0
QRVO,-1.29,1.67,0.0,1.28,0.0,0.07,-0.0,0.32,-1.29,0.0
QCOM,-2.47,2.29,0.0,1.41,0.0,0.55,-0.0,0.33,-2.47,0.0
REGN,-1.63,0.57,0.0,0.0,0.0,0.57,-0.0,0.0,-1.63,0.0
ROST,-0.71,0.02,0.0,0.0,0.0,0.01,-0.0,0.01,-0.7,0.0
SBAC,-1.22,2.31,0.0,1.43,0.0,0.17,-0.01,0.71,-1.22,0.0
STX,-1.44,0.57,0.0,0.26,0.0,0.13,-0.0,0.18,-1.44,0.0
SWKS,-1.31,1.9,0.0,1.56,0.0,0.04,-0.0,0.29,-1.31,0.0
SIVB,-1.8,0.43,0.0,0.07,0.0,0.17,-0.0,0.19,-1.8,0.0
SNPS,-3.19,2.19,0.0,0.51,0.0,1.6,-0.0,0.08,-3.19,0.0
TMUS,-1.56,1.99,0.0,1.23,0.0,0.13,-0.01,0.63,-1.56,0.0
TROW,-1.65,0.42,0.0,0.03,0.0,0.03,-0.0,0.36,-1.65,0.0
TTWO,-3.23,1.59,0.0,0.04,0.0,1.55,-0.0,0.0,-3.23,0.0
TER,-1.6,3.82,0.0,0.01,0.0,3.76,-0.0,0.05,-1.6,0.0
TSLA,-1.49,0.37,0.0,0.12,0.0,0.19,-0.0,0.06,-1.49,0.0
TXN,-1.21,1.05,0.0,0.83,0.0,0.08,-0.0,0.14,-1.21,0.0
TSCO,-0.73,0.04,0.0,0.01,0.0,0.01,-0.0,0.01,-0.73,0.0
TRMB,-1.68,1.28,0.0,0.38,0.0,0.89,-0.0,0.01,-1.68,0.0
ULTA,-0.97,0.05,0.0,0.0,0.0,0.03,-0.0,0.01,-0.97,0.0
VRSN,-2.96,1.19,0.0,0.62,0.0,0.39,-0.0,0.18,-2.95,0.0
VRSK,-2.21,2.09,0.0,0.43,0.0,0.83,-0.0,0.83,-2.21,0.0
VRTX,-2.18,0.03,0.0,0.0,0.0,0.03,-0.0,0.0,-2.18,0.0
WBA,-1.06,0.04,0.0,0.01,0.0,0.03,-0.0,0.01,-1.05,0.0
WDC,-2.2,1.43,0.0,0.49,0.0,0.74,-0.0,0.19,-2.2,0.0
XLNX,-1.72,1.92,0.0,1.29,0.0,0.38,-0.0,0.25,-1.72,0.0
ZBRA,-1.45,1.1,0.0,0.39,0.0,0.07,-0.0,0.64,-1.45,0.0
ZION,-1.83,0.32,0.0,0.08,0.0,0.02,-0.0,0.21,-1.83,0.0
