Ticker,businessEthicsIncidents,customerIncidents,employeeIncidents,environmentalSupplyChainIncidents,governanceIncidents,None,operationsIncidents,productServiceIncidents,publicPolicyIncidents,socialSupplyChainIncidents,societyCommunityIncidents
INTC,1,1,0,0,0,0,0,0,0,0,0
MSFT,0,1,0,0,0,0,0,0,0,0,0
BAC,1,1,0,0,0,0,0,0,0,0,1
AAPL,1,1,0,0,0,0,0,0,0,1,0
NVDA,0,1,0,0,0,0,0,0,0,0,0
VZ,0,1,0,0,0,0,0,0,0,0,0
CSCO,1,1,0,0,0,0,0,0,0,1,1
EXC,0,0,0,0,0,0,0,0,1,0,0
PEP,0,0,0,0,0,0,0,0,0,1,0
MA,0,1,0,0,0,0,0,0,0,0,0
HIG,0,1,0,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0,0
ANTM,1,1,0,0,0,0,0,0,0,0,0
ACN,1,1,0,0,0,0,0,0,0,0,0
T,0,1,1,0,0,0,0,0,0,0,0
IBM,1,1,1,0,0,0,0,0,0,0,0
F,0,1,0,0,0,0,0,1,0,0,0
OC,1,0,1,0,0,0,1,0,0,0,0
INTU,0,1,0,0,0,0,0,0,0,0,0
WFC,1,0,0,0,0,0,0,0,0,0,0
MRK,0,1,0,0,0,0,0,0,0,0,0
JPM,1,1,1,0,0,0,0,0,0,0,1
AEP,0,0,0,0,0,0,0,0,1,0,0
UNH,1,0,0,0,0,0,0,0,0,0,0
CI,1,1,1,0,0,0,0,0,0,0,1
AMAT,1,0,0,0,0,0,0,0,0,0,0
CL,0,0,0,0,0,0,0,0,0,0,1
EQIX,0,1,1,0,0,0,0,0,0,0,0
UPS,1,0,1,0,0,0,0,0,0,0,0
NEM,0,0,0,0,0,0,0,0,0,0,1
LMT,0,1,0,0,0,0,0,0,0,0,1
BLK,0,0,0,0,0,0,0,0,0,0,1
EIX,0,1,0,0,0,0,0,0,0,0,0
JNJ,0,1,0,0,0,0,0,0,0,0,0
SYF,0,1,0,0,1,0,0,0,0,0,0
FDX,1,1,1,0,0,0,1,0,0,0,0
GS,0,1,0,0,0,0,0,0,0,0,1
NOC,0,0,0,0,0,0,0,0,0,0,1
PG,0,0,0,1,0,0,0,0,0,1,0
ADM,0,0,0,1,0,0,0,0,0,1,0
ETR,0,1,1,0,0,0,0,0,0,0,1
QCOM,0,1,0,0,0,0,0,0,0,0,0
GIS,0,1,0,1,0,0,1,0,1,1,1
DE,1,0,1,0,0,0,1,0,0,0,1
RF,1,1,0,0,0,0,0,1,0,0,1
LOW,1,1,1,0,0,0,0,0,0,0,0
AMGN,0,0,0,0,0,0,0,0,0,0,1
ABT,0,1,0,0,0,0,0,0,0,0,0
HPE,1,0,1,0,0,0,1,0,0,1,0
BDX,0,1,0,0,0,0,0,0,0,0,0
CLX,0,1,0,0,0,0,0,0,0,0,0
AES,0,1,0,0,0,0,1,0,0,0,1
SPGI,1,0,0,0,0,0,0,0,0,0,0
ES,0,1,0,0,0,0,0,0,0,0,0
HSY,0,0,0,0,0,0,0,0,0,1,0
AXP,1,1,0,0,0,0,0,0,0,0,0
NLSN,1,1,1,0,1,0,0,0,0,0,0
EBAY,0,1,0,0,0,0,0,0,0,0,0
ECL,0,1,0,0,0,0,0,0,0,0,0
NDAQ,0,1,0,0,0,0,0,0,0,0,0
DLR,0,0,0,0,0,1,0,0,0,0,0
COF,0,1,0,0,0,0,0,0,0,0,0
BBY,1,1,1,1,0,0,0,0,0,1,0
KMB,0,1,0,0,0,0,0,0,0,1,0
EMN,1,0,0,0,0,0,0,0,0,0,1
