TICKER,Total-Score,E-Score,S-Score,G-Score,Last Rated
INTC,16.9,4.4,5.6,6.9,2022-02-01
MSFT,13.3,0.5,8.1,4.7,2022-02-01
CRM,13.3,2.3,6.5,4.4,2022-02-01
BAC,27.3,1.6,14.4,11.3,2022-02-01
PYPL,16.4,0.7,9.9,5.8,2022-02-01
AAPL,16.3,0.6,6.9,8.8,2022-02-01
NVDA,12.8,2.5,4.1,6.1,2022-02-01
VZ,16.7,1.7,9.3,5.7,2022-02-01
CSCO,11.8,0.0,5.6,6.2,2022-02-01
EXC,24.4,9.1,9.0,6.3,2022-02-01
PEP,16.0,4.9,6.6,4.6,2022-02-01
MA,17.2,0.3,8.1,8.8,2022-02-01
HIG,16.4,1.5,6.3,8.5,2022-02-01
C,27.8,1.7,12.8,13.3,2022-02-01
ANTM,11.6,0.0,5.8,5.8,2022-02-01
ACN,9.4,0.3,4.3,4.8,2022-02-01
T,22.2,2.3,13.1,6.8,2022-02-01
IBM,14.8,0.5,6.7,7.6,2022-02-01
F,29.6,9.3,11.3,9.0,2022-02-01
ADBE,10.8,0.5,5.7,4.6,2022-02-01
V,16.1,0.7,7.8,7.5,2022-02-01
OC,15.2,7.8,2.6,4.8,2022-02-01
INTU,16.5,1.0,10.5,5.0,2022-02-01
WFC,32.8,1.9,15.4,15.5,2022-02-01
MRK,21.9,0.8,11.5,9.6,2022-02-01
HPQ,10.3,0.2,5.0,5.1,2022-02-01
JPM,29.3,1.1,16.6,11.6,2022-02-01
WDAY,13.1,0.9,6.0,6.2,2022-02-01
GM,30.9,10.3,12.9,7.7,2022-02-01
AEP,30.5,17.8,7.2,5.6,2022-02-01
ILMN,11.4,1.2,3.6,6.6,2022-02-01
UNH,17.4,0.0,11.5,5.9,2022-02-01
CI,11.6,0.0,6.0,5.7,2021-03-01
LNG,24.6,11.0,9.8,3.8,2022-02-01
BIIB,20.6,0.0,12.8,7.8,2022-02-01
AMAT,11.6,3.8,2.6,5.1,2022-02-01
DAL,26.5,9.5,11.8,5.2,2022-02-01
CL,22.1,6.1,9.4,6.7,2022-02-01
EQIX,14.7,3.3,5.8,5.7,2022-02-01
UPS,20.2,5.6,9.3,5.3,2022-02-01
NEM,23.2,8.2,9.9,5.1,2022-02-01
LMT,28.8,5.3,15.9,7.6,2022-02-01
BLK,20.7,1.5,9.7,9.5,2022-02-01
AKAM,19.9,1.9,10.4,7.7,2022-02-01
EIX,27.4,10.5,10.6,6.4,2022-02-01
JNJ,27.3,0.7,18.0,8.5,2022-02-01
BSX,25.8,2.8,13.0,10.1,2022-02-01
PEG,28.9,14.5,8.7,5.7,2022-02-01
KEYS,9.4,2.0,2.2,5.1,2022-02-01
SYF,18.7,0.1,11.5,7.1,2022-02-01
VMW,14.3,0.8,7.9,5.6,2022-02-01
FDX,20.5,5.3,9.3,5.8,2022-02-01
GS,25.0,1.3,13.1,10.7,2022-02-01
NOC,28.5,7.5,15.7,5.3,2022-02-01
PG,27.0,9.3,10.3,7.4,2022-02-01
ADM,36.4,18.2,13.2,5.0,2022-02-01
MET,14.7,0.7,4.8,9.2,2022-02-01
ETR,30.3,16.2,7.4,6.6,2022-02-01
QCOM,18.0,5.8,4.4,7.8,2022-02-01
NOW,15.7,1.4,8.4,5.9,2022-02-01
GIS,21.7,8.1,9.4,4.1,2022-02-01
DE,16.9,3.8,9.4,3.7,2022-02-01
RF,19.5,1.8,9.8,8.0,2022-02-01
LOW,11.7,3.7,4.6,3.3,2022-02-01
JLL,7.4,1.2,3.2,3.0,2022-02-01
DIS,14.4,0.1,7.1,7.2,2022-02-01
AMGN,19.0,0.0,12.8,6.1,2022-02-01
ABT,26.0,3.0,13.5,9.4,2022-02-01
HPE,12.1,0.8,4.9,6.5,2022-02-01
BDX,28.3,3.8,15.1,9.3,2022-02-01
CLX,21.9,7.7,8.5,5.6,2022-02-01
AES,35.0,20.8,8.3,5.9,2022-02-01
SPGI,12.7,1.6,5.8,5.3,2022-02-01
ES,19.0,4.8,8.2,6.1,2022-02-01
HSY,25.0,10.5,9.6,4.9,2022-02-01
AXP,20.3,0.1,11.8,8.5,2022-02-01
EW,19.4,2.9,8.9,7.7,2022-02-01
NLSN,23.0,0.1,16.9,6.0,2022-02-01
EBAY,16.7,0.9,9.3,6.4,2022-02-01
XOM,37.9,19.2,10.5,8.1,2022-02-01
ECL,24.1,9.5,8.4,6.2,2022-02-01
NDAQ,11.9,1.8,4.6,5.6,2022-02-01
DLR,13.0,3.2,3.7,6.1,2022-02-01
TT,15.7,7.3,3.2,5.2,2022-02-01
COF,23.2,0.1,13.5,9.7,2022-02-01
BBY,14.3,2.2,7.3,4.8,2022-02-01
KMB,22.2,8.1,7.8,6.4,2022-02-01
EMN,24.8,11.5,5.5,7.8,2022-02-01
PANW,14.2,0.8,7.6,5.8,2022-02-01
